Time,L1 DCM,L2 DCM,FP OPS,TOT INS,TLB DM
0.265,244801935,43784252,1515250566,-6629128522243244288,140730912098224
0.252,244798434,43993439,1515250553,140730912098280,140730912098224
0.261,244755463,41217721,1515250563,140730912098280,140730912098224
0.253,244748858,40342818,1515250553,140730912098280,140730912098224
0.256,244743005,42106994,1515250558,140730912098280,140730912098224
1.889,1227479919,240032570,7009019440,140730912098280,140730912098224
1.910,1233252922,282694022,7009019456,140730912098280,140730912098224
1.882,1233270325,228260327,7009019432,140730912098280,140730912098224
1.856,1233270686,281206278,7009019408,140730912098280,140730912098224
1.812,1233297368,247937115,7009019362,140730912098280,140730912098224
4.892,3523974466,1412309288,19225670317,140730912098280,140730912098224
4.897,3535936548,1395389328,19225670314,140730912098280,140730912098224
4.870,3534999168,1500995752,19225670344,140730912098280,140730912098224
4.806,3534584161,1363897172,19225670360,140730912098280,140730912098224
4.868,3534673688,1547333490,19225670372,140730912098280,140730912098224
22.257,9061836518,7795062891,40853216606,140730912098280,140730912098224
22.291,9071173305,8311256732,40853216388,140730912098280,140730912098224
22.484,9071046577,9330390495,40853216753,140730912098280,140730912098224
22.265,9071232615,8154950707,40853216431,140730912098280,140730912098224
22.200,9071275334,7817372913,40853216326,140730912098280,140730912098224
49.104,17634012842,23983435962,74579652830,140730912098280,140730912098224
47.572,17633835222,24026018716,74579651155,140730912098280,140730912098224
48.003,17633664900,24061114289,74579651415,140730912098280,140730912098224
47.879,17633584007,24325996633,74579651132,140730912098280,140730912098224
47.597,17634155441,23954231322,74579650662,140730912098280,140730912098224
